Course Code,Course Name,Credits,Department ID
CS101,ریاضی 1,3,CS
CS102,ریاضی 2,3,CS
CS103,فیزیک 1,3,CS
CS104,مبانی کامپیوتر,3,CS
CS105,برنامه‌نویسی مقدماتی,3,CS
CS106,آمار و احتمال,3,CS
CS201,ساختمان داده,3,CS
CS202,مدار منطقی,3,CS
CS203,ریاضی گسسته,3,CS
CS204,معماری کامپیوتر,3,CS
CS205,سیستم عامل,3,CS
CS206,شبکه‌های کامپیوتری,3,CS
CS207,پایگاه داده,3,CS
CS208,هوش مصنوعی,3,CS
CS209,طراحی الگوریتم,3,CS
CS210,نظریه زبان‌ها,3,CS
CS211,کامپایلر,3,CS
CS212,گرافیک کامپیوتری,3,CS
CS213,مهندسی نرم‌افزار,3,CS
CS214,یادگیری ماشین,3,CS
CS215,امنیت شبکه,3,CS
CS216,برنامه‌نویسی وب,3,CS
CS217,برنامه‌نویسی موبایل,3,CS
CS218,رایانش ابری,3,CS
CS219,اینترنت اشیا,3,CS
CS220,داده‌کاوی,3,CS
CS221,پردازش تصویر,3,CS
CS222,رباتیک,3,CS
CS223,بلاکچین,3,CS
CS224,بازی‌سازی,3,CS
CS225,واقعیت مجازی,3,CS
CS226,پردازش زبان طبیعی,3,CS
CS227,سیستم‌های توزیع شده,3,CS
CS228,معماری نرم‌افزار,3,CS
CS229,تست نرم‌افزار,3,CS
CS230,مدیریت پروژه,3,CS
CS231,کارآموزی,2,CS
CS232,پروژه نهایی,3,CS
CS233,کارگاه کامپیوتر,1,CS
CS234,آزمایشگاه شبکه,1,CS
