Course Code,Professor Personnel ID,Day of Week,Time Start,Time End,Location,Telegram Link,Final Exam Date Shamsi,Midterm Exam Date Shamsi,Semester ID
CS101,P1001,شنبه,08:00,10:00,کلاس 101,https://t.me/cs101_p1001,1403/04/20,1403/03/21,1403-1
CS101,P1002,یکشنبه,10:00,12:00,کلاس 102,https://t.me/cs101_p1002,1403/04/20,,1403-1
CS102,P1001,شنبه,10:00,12:00,کلاس 101,https://t.me/cs102_p1001,1403/04/22,1403/03/25,1403-1
CS102,P1003,دوشنبه,08:00,10:00,کلاس 103,https://t.me/cs102_p1003,1403/04/22,1403/03/25,1403-1
CS103,P1004,یکشنبه,14:00,16:00,کلاس 104,https://t.me/cs103_p1004,1403/04/24,,1403-1
CS104,P1005,دوشنبه,14:00,16:00,آزمایشگاه 1,https://t.me/cs104_p1005,1403/04/26,,1403-1
CS105,P1006,سه‌شنبه,08:00,10:00,کلاس 105,https://t.me/cs105_p1006,1403/04/28,1403/03/28,1403-1
CS201,P1007,شنبه,14:00,16:00,کلاس 201,https://t.me/cs201_p1007,1403/05/01,,1403-1
CS202,P1008,یکشنبه,08:00,10:00,کلاس 202,https://t.me/cs202_p1008,1403/05/03,,1403-1
CS203,P1009,دوشنبه,10:00,12:00,کلاس 203,https://t.me/cs203_p1009,1403/05/05,,1403-1
